,fiction_work,film_adaptations,title_book,author_book,year_book,title_film,year_film
719,"The Count of Monte Cristo(French:Le comte de Monte Cristo) (1844–1846),Alexandre Dumas, père",The Count of Monte Cristo(2024),The Count of Monte Cristo, père,1844–1846,The Count of Monte Cristo,2024
720,"The Cowboys(1971),William Dale Jennings",The Cowboys(1972),The Cowboys,William Dale Jennings,1971,The Cowboys,1972
721,"Cracking India(1991),Bapsi Sidhwa",Earth(1998),Cracking India,Bapsi Sidhwa,1991,Earth,1998
722,"Crash(1973),J. G. Ballard",Crash(1996),Crash,J. G. Ballard,1973,Crash,1996
723,"Creator(1980),Jeremy Leven",Creator(1985),Creator,Jeremy Leven,1980,Creator,1985
724,"The Crime of Father Amaro(Portuguese:O Crime do Padre Amaro) (1875),José Maria de Eça de Queiroz",The Crime of Padre Amaro(Spanish:El crimen del padre Amaro) (2002),The Crime of Father Amaro,José Maria de Eça de Queiroz,1875,The Crime of Padre Amaro,2002
725,"The Crime of Father Amaro(Portuguese:O Crime do Padre Amaro) (1875),José Maria de Eça de Queiroz",O Crime do Padre Amaro(2005)[N 1],The Crime of Father Amaro,José Maria de Eça de Queiroz,1875,O Crime do Padre Amaro,2005
726,"Crossfire Trail(1954),Louis L'Amour",Crossfire Trail(2001)[N 1],Crossfire Trail,Louis L'Amour,1954,Crossfire Trail,2001
727,"Crouching Tiger, Hidden Dragon(Chinese:卧虎藏龙,Wòhǔ Cánglóng) (1942),Wang Dulu","Crouching Tiger, Hidden Dragon(2000)","Crouching Tiger, Hidden Dragon",Wang Dulu,1942,"Crouching Tiger, Hidden Dragon",2000
728,"Crouching Tiger, Hidden Dragon(Chinese:卧虎藏龙,Wòhǔ Cánglóng) (1942),Wang Dulu","Crouching Tiger, Hidden Dragon: Sword of Destiny(Chinese:卧虎藏龙：青冥宝剑) (2016)","Crouching Tiger, Hidden Dragon",Wang Dulu,1942,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016
729,"The Cruel Sea(1951),Nicholas Monsarrat",The Cruel Sea(1953),The Cruel Sea,Nicholas Monsarrat,1951,The Cruel Sea,1953
730,"Cry Wolf(a. k. a.The Demarest Inheritance) (1945), Marjorie Carleton",Cry Wolf(1947),Cry Wolf, Marjorie Carleton,1945,Cry Wolf,1947
731,"Cutter and Bone(1976),Newton Thornburg",Cutter's Way(1981),Cutter and Bone,Newton Thornburg,1976,Cutter's Way,1981
732,"Cyborg(1972),Martin Caidin",The Six Million Dollar Man(1973)[N 1],Cyborg,Martin Caidin,1972,The Six Million Dollar Man,1973
733,"Cycle of the Werewolf(1983),Stephen King",Silver Bullet(1985),Cycle of the Werewolf,Stephen King,1983,Silver Bullet,1985
734,"The Cypher(a. k. a.The Cipher) (1961), Gordon Cotler",Arabesque(1966),The Cypher, Gordon Cotler,1961,Arabesque,1966
